food_code,food_name,source,water_g_100g,energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,ash_g_100g,calcium_mg_100g,phosphorus_mg_100g,iron_mg_100g,sodium_mg_100g,potassium_mg_100g,copper_mg_100g,zinc_mg_100g,retinol_mcg_100g,beta_carotene_mcg_100g,carotene_total_mcg_100g,thiamin_mg_100g,riboflavin_mg_100g,niacin_mg_100g,vitamin_c_mg_100g,bdd_percent,tkpi_main_group,tkpi_group_code,category_code,category_name,category_source,food_name_clean,food_name_match,food_name_match_original,urt,urt_qty,urt_unit,gram_per_portion,food_name_std,is_processed_code,exists_in_urt,exists_in_manual_whitelist,remove_processed,energy_kcal_per_portion,protein_g_per_portion,fat_g_per_portion,carb_g_per_portion,sodium_mg_per_portion,potassium_mg_per_portion,calcium_mg_per_portion,fiber_g_per_portion,is_excluded_keyword,is_menu_ready
AP001,Nasi,KZGPI-1990,56.7,180,3.0,0.3,39.8,0.2,0.2,25,27,0.4,1.0,38.0,0.10,-,-,-,0.0,0.05,-,0,100.0,0,A,AP,MP,Makanan Pokok,tkpi_main_group,nasi,nasi beras giling putih,nasi,3/4 Gelas,0.75,Gelas,100.0,nasi,True,True,True,False,180.0,3.0,0.3,39.8,1.0,38.0,25.0,0.2,False,True
AP005,Nasi beras merah,KZGPI-1990,64.0,149,2.8,0.4,32.5,0.3,0.3,6,63,0.8,5.0,91.4,0,0.00,0,0,0.0,0.06,0,1.6,100.0,0,A,AP,MP,Makanan Pokok,tkpi_main_group,nasi beras merah,nasi beras giling merah,nasi beras merah,3/4 Gelas,0.75,Gelas,100.0,nasi beras merah,True,True,True,False,149.0,2.8,0.4,32.5,5.0,91.4,6.0,0.3,False,True
CP037,Kembang tahu,KZGPI- 1990,"10,8",380,48.9,13.8,23.3,0.0,"3,2",378,781,"2,1",55.0,455.3,"0,68","4,2",,0,,"0,15","0,08","0,7",,100,C,CP,LN,Lauk Nabati,tkpi_main_group,kembang tahu,kembang tahu,kembang tahu,1 Lembar,1.0,Lembar,20.0,kembang tahu,True,True,True,False,76.0,9.78,2.76,4.66,11.0,91.06,75.6,0.0,False,True
CP051,Oncom,DABM-1964,57,187,13.0,6.0,22.6,,"1,4",96,115,27,,,,,0,,,"0,09",0,"1,6",0.0,100,C,CP,LN,Lauk Nabati,tkpi_main_group,oncom,oncom,oncom,2 Potong Besar,2.0,Potong Besar,50.0,oncom,True,True,True,False,93.5,6.5,3.0,11.3,,,48.0,,False,True
CP077,"Tempe kedelai, mentah",KZGPI- 1990,"55,3",201,20.8,8.8,13.5,1.4,"1,6",155,326,4,9.0,234.0,"0,57","1,7",,0,,"0,19","0,59","4,9",,100,C,CP,LN,Lauk Nabati,tkpi_main_group,"tempe kedelai, mentah",tempe kedelai,tempe kedelai,2 potong sedang,2.0,potong sedang,50.0,"tempe kedelai, mentah",True,True,True,False,100.5,10.4,4.4,6.75,4.5,117.0,77.5,0.7,False,True
DR008,"Bayam, segar",KZGPI-1990,"94,5",16,0.9,0.4,2.9,0.7,"1,3",166,76,"3,5",15.8,456.4,"0,13","0,4",,2699,2293.0,"0,04","0,1",1,41.0,71,D,DR,S,Sayur,tkpi_main_group,"bayam, segar",bayam,bayam,1 gelas,1.0,gelas,100.0,bayam,False,False,False,False,16.0,0.9,0.4,2.9,15.8,456.4,166.0,0.7,False,True
DR009,"Bayam merah, segar",KZGMI-2001,"88,5",41,2.2,0.8,6.3,2.2,"2,2",520,80,7,20.0,60.0,"0,2","0,8",0,7325,,"0,2","0,1","0,1",62.0,71,D,DR,S,Sayur,tkpi_main_group,"bayam merah, segar",bayam merah,bayam merah,1 gelas,1.0,gelas,100.0,bayam,False,False,False,False,41.0,2.2,0.8,6.3,20.0,60.0,520.0,2.2,False,True
DR013,"Buncis, segar",KZGPI-1990,"89,6",34,2.4,0.3,7.2,1.9,"0,5",101,42,"0,7",8.0,250.0,"0,07","0,3",0,772,550.0,"0,05","0,4","2,8",11.0,90,D,DR,S,Sayur,tkpi_main_group,"buncis, segar",buncis,buncis,1 gelas,1.0,gelas,100.0,buncis,False,False,False,False,34.0,2.4,0.3,7.2,8.0,250.0,101.0,1.9,False,True
DR016,"Caisin, segar",KZGPI-1990,"93,6",20,1.7,0.4,3.4,1.2,"0,9",123,40,"1,9",18.0,358.2,"0,05","1,4",,1675,4188.0,"0,04","0,19","0,6",3.0,100,D,DR,S,Sayur,tkpi_main_group,"caisin, segar",caisin,caisin,1 gelas,1.0,gelas,100.0,sawi,False,False,False,False,20.0,1.7,0.4,3.4,18.0,358.2,123.0,1.2,False,True
DR018,"Daun bawang merah, segar",KZGMI-2001,"89,1",41,2.0,0.3,7.8,2.1,"0,8",60,40,"2,3",30.0,90.0,"0,1","0,3",0,218,,"0,1","0,1","0,2",11.0,67,D,DR,S,Sayur,tkpi_main_group,"daun bawang merah, segar",daun bawang merah,daun bawang merah,1 gelas,1.0,gelas,100.0,daun bawang,False,False,False,False,41.0,2.0,0.3,7.8,30.0,90.0,60.0,2.1,False,True
